,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
0,3,BHK,Apartment,Attapur,Hyderabad,"9,000",600,Furnished,No,1,
1,2,BHK,Apartment,Toli Chowki,Hyderabad,"16,000",1100,Semi-Furnished,No,2,
2,4,BHK,Independent,Shamshabad,Hyderabad,"45,000",3000,Furnished,No,4,West
3,3,BHK,Apartment,Nanakramguda,Hyderabad,"80,000",3105,Furnished,No,3,
4,2,BHK,Independent,Malakpet,Hyderabad,"18,000",1200,Unfurnished,No,2,
5,4,BHK,Villa,Nizampet,Hyderabad,"30,000",2400,Unfurnished,No,4,
6,3,BHK,Apartment,Uppal,Hyderabad,"20,000",1800,Furnished,No,3,
7,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1250,Semi-Furnished,No,2,East
8,2,BHK,Apartment,Nallagandla Gachibowli,Hyderabad,"25,000",1350,Semi-Furnished,No,2,
9,3,BHK,Apartment,Nanakramguda,Hyderabad,"47,500",1885,Semi-Furnished,No,3,
10,3,BHK,Apartment,Banjara Hills,Hyderabad,1.15,3130,Semi-Furnished,No,3,
11,4,BHK,Apartment,Kondapur,Hyderabad,"95,000",3070,Semi-Furnished,No,4,East
12,3,BHK,Apartment,Nanakramguda,Hyderabad,"42,000",1886,Unfurnished,No,3,
13,2,BHK,Apartment,Kondapur,Hyderabad,"20,000",950,Unfurnished,No,2,
14,2,BHK,Apartment,Kondapur,Hyderabad,"30,000",1100,Semi-Furnished,No,2,
15,1,BHK,Apartment,Madhapur,Hyderabad,"27,000",708,Furnished,No,1,
16,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1200,Semi-Furnished,No,2,East
17,3,BHK,Apartment,Kukatpally,Hyderabad,"46,000",1500,Semi-Furnished,No,2,
18,3,BHK,Apartment,Jubilee Hills,Hyderabad,"60,000",2500,Semi-Furnished,No,3,
19,3,BHK,Apartment,Kondapur,Hyderabad,"70,000",1840,Semi-Furnished,No,3,East
20,3,BHK,Apartment,Attapur,Hyderabad,"9,000",600,Furnished,No,1,
21,2,BHK,Apartment,Toli Chowki,Hyderabad,"16,000",1100,Semi-Furnished,No,2,
22,4,BHK,Independent,Shamshabad,Hyderabad,"45,000",3000,Furnished,No,4,West
23,3,BHK,Apartment,Nanakramguda,Hyderabad,"80,000",3105,Furnished,No,3,
24,2,BHK,Independent,Malakpet,Hyderabad,"18,000",1200,Unfurnished,No,2,
25,4,BHK,Villa,Nizampet,Hyderabad,"30,000",2400,Unfurnished,No,4,
26,3,BHK,Apartment,Uppal,Hyderabad,"20,000",1800,Furnished,No,3,
27,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1250,Semi-Furnished,No,2,East
28,2,BHK,Apartment,Nallagandla Gachibowli,Hyderabad,"25,000",1350,Semi-Furnished,No,2,
29,3,BHK,Apartment,Nanakramguda,Hyderabad,"47,500",1885,Semi-Furnished,No,3,
30,3,BHK,Apartment,Banjara Hills,Hyderabad,1.15,3130,Semi-Furnished,No,3,
31,4,BHK,Apartment,Kondapur,Hyderabad,"95,000",3070,Semi-Furnished,No,4,East
32,3,BHK,Apartment,Nanakramguda,Hyderabad,"42,000",1886,Unfurnished,No,3,
33,2,BHK,Apartment,Kondapur,Hyderabad,"20,000",950,Unfurnished,No,2,
34,2,BHK,Apartment,Kondapur,Hyderabad,"30,000",1100,Semi-Furnished,No,2,
35,1,BHK,Apartment,Madhapur,Hyderabad,"27,000",708,Furnished,No,1,
36,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1200,Semi-Furnished,No,2,East
37,3,BHK,Apartment,Kukatpally,Hyderabad,"46,000",1500,Semi-Furnished,No,2,
38,3,BHK,Apartment,Jubilee Hills,Hyderabad,"60,000",2500,Semi-Furnished,No,3,
39,3,BHK,Apartment,Kondapur,Hyderabad,"70,000",1840,Semi-Furnished,No,3,East
40,1,BHK,Apartment,Madhapur,Hyderabad,"10,000",740,Furnished,No,1,
41,1,BHK,Independent,Miyapur,Hyderabad,"13,500",500,Unfurnished,No,1,
42,3,BHK,Apartment,Habsiguda,Hyderabad,"25,000",1700,Semi-Furnished,No,2,
43,3,BHK,Independent,Timarpur,Hyderabad,1.8,4500,Semi-Furnished,No,3,North
44,2,BHK,Independent,Nizampet,Hyderabad,"19,000",1100,Semi-Furnished,No,2,North
45,3,BHK,Apartment,Puppalaguda,Hyderabad,"38,000",2400,Semi-Furnished,No,3,North
46,3,BHK,Apartment,Madhapur,Hyderabad,"20,000",1750,Semi-Furnished,No,3,East
47,1,BHK,Apartment,Kondapur,Hyderabad,"14,000",650,Semi-Furnished,No,1,
48,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",880,Semi-Furnished,No,1,
49,3,BHK,Apartment,Kondapur,Hyderabad,"55,000",2070,Semi-Furnished,No,3,
50,2,BHK,Apartment,Habsiguda,Hyderabad,"12,000",1399,Semi-Furnished,No,2,
